 2020-05-14 13:19:20,356 [P6084/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on YANNIS
 2020-05-14 13:19:20,511 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2020-05-14 13:19:20,596 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 85ms)
 2020-05-14 13:19:20,788 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2020-05-14 13:19:23,490 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 2702ms)
 2020-05-14 13:19:23,535 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2020-05-14 13:19:23,552 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 17ms)
 2020-05-14 13:19:23,554 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2020-05-14 13:19:23,593 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 39ms)
 2020-05-14 13:19:23,659 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2020-05-14 13:19:23,671 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 12ms)
 2020-05-14 13:19:23,672 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2020-05-14 13:19:23,686 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 13ms)
 2020-05-14 13:19:23,927 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2020-05-14 13:19:23,936 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 8ms)
 2020-05-14 13:19:23,937 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2020-05-14 13:19:23,945 [P6084/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 8ms)
 2020-05-14 13:19:29,413 [P6084/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2020-05-14 13:19:31,899 [P6084/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2020-05-14 13:19:31,916 [P6084/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2020-05-14 13:19:32,506 [P6084/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2020-05-14 13:19:36,303 [P6084/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2020-05-14 13:19:36,303 [P6084/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2020-05-14 13:19:36,351 [P6084/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 16261ms)
 2020-05-14 13:19:38,307 [P6084/D2/T5] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:51618/umbraco (UmbracoModule request)
 2020-05-14 13:19:39,928 [P6084/D2/T8] INFO  umbraco.content - Load Xml from file...
 2020-05-14 13:19:39,997 [P6084/D2/T8] INFO  umbraco.content - Loaded Xml from file.
 2020-05-14 13:19:45,461 [P6084/D2/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2020-05-14 13:19:45,508 [P6084/D2/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 47ms)
 2020-05-14 13:20:00,077 [P6084/D2/T8] WARN  Umbraco.Web.Mvc.RenderRouteHandler - The current Document Type home matches a locally declared controller of type Good4youUmbraco.Controllers.HomeController. Custom Controllers for Umbraco routing must implement 'Umbraco.Web.Mvc.IRenderController' and inherit from 'System.Web.Mvc.ControllerBase'.
 2020-05-14 13:20:40,740 [P6084/D2/T14] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2020-05-13 13:20:40
 2020-05-14 13:20:42,161 [P6084/D2/T5] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2020-05-14 13:20:42,185 [P6084/D2/T5] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 24ms)
 2020-05-14 13:21:53,113 [P6084/D2/T8] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username kasiakor from IP address ::1
 2020-05-14 13:21:53,117 [P6084/D2/T8] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: kasiakor logged in from IP address ::1
